Index,Parent_File,Ground_Truth,Prediction,Delta1_Met,Raw_Output
0,rgb/corridor_01.png,1.68230716411078,1.23,0,<think>The target is at the Y degree ring...</think><answer>1.23</answer>
1,rgb/corridor_02.png,3.23949034866865,1.42,0,<think>The target is at the Y degree ring...</think><answer>1.42</answer>
2,rgb/corridor_03.png,3.850614175631342,2.51,0,<think>The target is at the Y degree ring...</think><answer>2.51</answer>
3,rgb/corridor_04.png,6.728465705348287,1.67,0,<think>The target is at the Y degree ring...</think><answer>1.67</answer>
4,rgb/corridor_05.png,2.571908140688182,1.42,0,<think>The target is at the Y degree ring...</think><answer>1.42</answer>
5,rgb/corridor_06.png,1.7418173495078961,1.29,0,<think>The target is at the Y degree ring...</think><answer>1.29</answer>
6,rgb/corridor_07.png,6.073090714885176,1.42,0,<think>The target is at the Y degree ring...</think><answer>1.42</answer>
7,rgb/corridor_08.png,7.325856412603952,1.82,0,<think>The target is at the Y degree ring...</think><answer>1.82</answer>
8,rgb/corridor_09.png,1.358815899900816,1.28,1,<think>The target is at the Y degree ring...</think><answer>1.28</answer>
9,rgb/corridor_10.png,2.436102845807583,1.42,0,<think>The target is at the Y degree ring...</think><answer>1.42</answer>
10,rgb/factory_01.png,1.050583657587548,1.23,1,<think>The target is at the Y degree ring...</think><answer>1.23</answer>
11,rgb/factory_02.png,5.3521019302662705,1.67,0,<think>The target is at the Y degree ring...</think><answer>1.67</answer>
12,rgb/factory_03.png,3.628595407034409,2.3,0,<think>The target is at the Y degree ring...</think><answer>2.3</answer>
13,rgb/factory_04.png,8.3588921950103,1.53,0,<think>The target is at the Y degree ring...</think><answer>1.53</answer>
14,rgb/factory_05.png,3.628595407034409,1.73,0,<think>The target is at the Y degree ring...</think><answer>1.73</answer>
15,rgb/factory_06.png,1.478599221789883,1.29,1,<think>The target is at the Y degree ring...</think><answer>1.29</answer>
16,rgb/factory_07.png,2.631418326085298,2.41,1,<think>The target is at the Y degree ring...</think><answer>2.41</answer>
17,rgb/factory_08.png,1.606775005722133,1.08,0,<think>The target is at the Y degree ring...</think><answer>1.08</answer>
18,rgb/kitchen_01.png,2.670328831921873,1.52,0,<think>The target is at the Y degree ring...</think><answer>1.52</answer>
19,rgb/kitchen_02.png,1.89593347066453,1.05,0,<think>The target is at the Y degree ring...</think><answer>1.05</answer>
20,rgb/kitchen_03.png,2.468146791790646,1.24,0,<think>The target is at the Y degree ring...</think><answer>1.24</answer>
21,rgb/kitchen_04.png,2.759594110017548,1.52,0,<think>The target is at the Y degree ring...</think><answer>1.52</answer>
22,rgb/kitchen_05.png,1.667048142214084,0.94,0,<think>The target is at the Y degree ring...</think><answer>0.94</answer>
23,rgb/kitchen_06.png,2.5818265049210343,1.16,0,<think>The target is at the Y degree ring...</think><answer>1.16</answer>
24,rgb/kitchen_07.png,5.516136415655756,1.2,0,<think>The target is at the Y degree ring...</think><answer>1.2</answer>
25,rgb/kitchen_08.png,4.502174410620279,0.93,0,<think>The target is at the Y degree ring...</think><answer>0.93</answer>
26,rgb/lab_01.png,2.4536507209887852,1.73,0,<think>The target is at the Y degree ring...</think><answer>1.73</answer>
27,rgb/lab_02.png,7.434195468070497,1.92,0,<think>The target is at the Y degree ring...</think><answer>1.92</answer>
28,rgb/lab_03.png,2.145418478675517,1.27,0,<think>The target is at the Y degree ring...</think><answer>1.27</answer>
29,rgb/lab_04.png,1.5716792553597312,2.61,0,<think>The target is at the Y degree ring...</think><answer>2.61</answer>
30,rgb/lab_05.png,5.22392614633402,1.32,0,<think>The target is at the Y degree ring...</think><answer>1.32</answer>
31,rgb/lab_06.png,2.9175249866483552,1.54,0,<think>The target is at the Y degree ring...</think><answer>1.54</answer>
32,rgb/lab_07.png,5.254444190127413,1.82,0,<think>The target is at the Y degree ring...</think><answer>1.82</answer>
33,rgb/lab_08.png,7.153429465171283,1.23,0,<think>The target is at the Y degree ring...</think><answer>1.23</answer>
34,rgb/lab_09.png,3.064774547951476,1.54,0,<think>The target is at the Y degree ring...</think><answer>1.54</answer>
